hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo
hed:HED_0011301	dateTimeClass	hed:HED_0010009	allowedCharacter=digits, allowedCharacter=T, allowedCharacter=hyphen, allowedCharacter=colon	Date-times should conform to ISO8601 date-time format YYYY-MM-DDThh:mm:ss.000000Z (year, month, day, hour (24h), minute, second, optional fractional seconds, and optional UTC time indicator. Any variation on the full form is allowed.	"hed:HED_0010009 and (hed:HED_0010304 value ""digits"") and (hed:HED_0010304 value ""T"") and (hed:HED_0010304 value ""hyphen"") and (hed:HED_0010304 value ""colon"")"
hed:HED_0011302	nameClass	hed:HED_0010009	allowedCharacter=letters, allowedCharacter=digits, allowedCharacter=underscore, allowedCharacter=hyphen	Value class designating values that have the characteristics of node names. The allowed characters are alphanumeric, hyphen, and underscore.	"hed:HED_0010009 and (hed:HED_0010304 value ""letters"") and (hed:HED_0010304 value ""digits"") and (hed:HED_0010304 value ""underscore"") and (hed:HED_0010304 value ""hyphen"")"
hed:HED_0011303	numericClass	hed:HED_0010009	allowedCharacter=digits, allowedCharacter=E, allowedCharacter=e, allowedCharacter=plus, allowedCharacter=hyphen, allowedCharacter=period	Value must be a valid numerical value.	"hed:HED_0010009 and (hed:HED_0010304 value ""digits"") and (hed:HED_0010304 value ""E"") and (hed:HED_0010304 value ""e"") and (hed:HED_0010304 value ""plus"") and (hed:HED_0010304 value ""hyphen"") and (hed:HED_0010304 value ""period"")"
hed:HED_0011304	posixPath	hed:HED_0010009	allowedCharacter=digits, allowedCharacter=letters, allowedCharacter=slash, allowedCharacter=colon	Posix path specification.	"hed:HED_0010009 and (hed:HED_0010304 value ""digits"") and (hed:HED_0010304 value ""letters"") and (hed:HED_0010304 value ""slash"") and (hed:HED_0010304 value ""colon"")"
hed:HED_0011305	textClass	hed:HED_0010009	allowedCharacter=text	Values that have the characteristics of text such as in descriptions. The text characters include printable characters (32 <= ASCII  < 127) excluding comma, square bracket and curly braces as well as nonascii (ASCII codes > 127).	"hed:HED_0010009 and (hed:HED_0010304 value ""text"")"
